id,logged_by,logged_on,to_address,category,subject,description,job_id,farm,status
165,PWARRIER,"2014-10-21 04:10:31",NULL,VM,"SDI base jobs triggered fails as deployerhost itself is not created.","SDI base triggered job 22021479 has failed to satrt the proxy on the deployer host. But it appears this host itself is not created.",,OPC_QA_FARM,Closed
166,KRAMANJA,"2014-10-21 06:05:10",NULL,Others,"Not able to add new hostnames in Farm","perl /ade_autofs/gd14_fmw/INTGQA_MAIN_GENERIC.rdd/LATEST/intgqa/ovm/private_farm_fwk/ovm_farm_manager_v7.pl -o add_hostname -gate_way 10.245.136.1 -net_mask 255.255.248.0 -ip_addr 10.245.137.173 -host_name slc03wcu -farm warroom
Adding VM slc03wcu
DBD::mysql::st execute failed: Column count doesn't match value count at row 1 at /ade_autofs/gd14_fmw/INTGQA_MAIN_GENERIC.rdd/LATEST/intgqa/ovm/private_farm_fwk/ovm_farm_manager_v7.pl line 8473.",NA,warroom,Closed
167,AMATHURA,"2014-10-21 06:22:17",NULL,Others,"Cleanup didn't initiate delete in SDI","I have completed the cleanup of my HA env in Venky's SDI. But it looks like without cleaning up the traces in SDI, I think all the machines have been wiped off through QA Farm.",21808763,fastha,Closed
168,AMATHURA,"2014-10-21 06:23:52",NULL,Others,"SDI Base topo stuck @ PATCH_EMGC","Currently the topo stuck @ PATCH_EMGC block for more than 7 hours. Could you pls help?","22009455 ",fastha,Closed
169,KRAMANJA,"2014-10-21 09:13:27",NULL,Others,"Combined hypervisors slcah782, slcah765","We have combined slcah782, slcah765 hypervisors under the warroom subpool.

Please update the QAFarm.",NA,warroom,Closed
170,KRAMANJA,"2014-10-21 09:15:01",NULL,Others,"please update the memory of hypervisors slcak524,","Please update the memory of the hypervisor slcak524 to 251811.",NA,warroom,Closed
171,KRAMANJA,"2014-10-21 09:36:41",NULL,Cleanup,"job-21646052 cleanup did not clean the shared disks","We have triggered cleanup of job-21646052.  Job cleanup is completed but the associated  shared disks did not get cleaned.

Hypervisor: slcah783
shared disks:
<INFO> 20/10/2014 06:33:20 -> INFO: Cleaning sharedstorage for slc03wix and slc03wiy

<INFO> 20/10/2014 06:33:22 -> Shared virtual disk ""21646052_1"" does not exist, or an error occurred while getting the shared disk resource.",21646052,fastha,Closed
172,KRAMANJA,"2014-10-21 15:48:36",NULL,Others,"job got struck at ""WAITING_FOR_FREE_HV""  HA job","submitted a job for SDI based HCM-rel9.2 HA+scaleout env setup. 
Combined hypervisors are slcah782,slcah765.
Job was struck at  ""WAITING_FOR_FREE_HV"" .",22029657,warroom,Closed
173,AMALON,"2014-10-21 22:53:29",NULL,Others,"Setup Rac Block Fails at Create Shared Disk","Shared disk creation fails to create during Setup Rac For Deployment block. 
From create_rac_21_10_2014_15_23_47_95.3083409302966.log 
Shared virtual disk ""22033892_5"" is being created. Please check the status.
ERROR: Unable to initizialize shared disk in given time!",22033892,QAFARM,Closed
174,AMALON,"2014-10-21 22:56:07",NULL,Others,"Setup Rac Block Fails at Create Shared Disk","Create shared disk fails during Create Rac For Deployment Block.

From create rac log:
Shared virtual disk ""22033901_5"" is being created. Please check the status.
ERROR: Unable to initizialize shared disk in given time!",22033901,QAFARM,Closed
175,AMALON,"2014-10-23 03:29:30",NULL,Others,"Setup Rac Block Fail Multiple times w/different jobs.","Hi,

This block constantly failed today with three different jobs. The latest job ID is attached to the bug. From log:
NIC has been added to the virtual machine.
ERROR: subjobid 168630022195220  failed!",22059205,warroom,Closed
176,AMALON,"2014-10-23 03:31:43",NULL,Hypervisor,"OPC_SHARED_FARM Jobs Fail To Install OVMCLI in Deployer Host","Hi,

Three jobs in OPC_SHARED_FARM failed to start due to:
Please note that your job 22058014 has Failed while Installing OVMCLI on DEPLOYER_HOST",22058014,OPC_QA_FARM,Closed
177,AMALON,"2014-10-23 21:39:00",NULL,Others,"CONFIGURE_SDI_FOR_FA Block Stuck, Running over 24hrs w/no files","Hi,

In the job attached and also in job 22061188, Configure SDI for FA block has been running over 24hrs without having any files. Please check root cause. Also, possible improve logic by setting time out.",22059498,QAFARM,Closed
178,AMALON,"2014-10-23 21:43:45",NULL,Others,"Shared IDM Setup Consistently Fails in SDI 14.1.10-12","Hi,

Shared IDM Setup has failed consistently for new SDI base with SDI 14.1.10 and 14.1.12. Seems to be conflicting patch issue. Also job 22032784",22048252,,Closed
179,AMALON,"2014-10-23 21:45:10",NULL,Cleanup,"Job 22026953 Stuck In Initiating Cleanup State","Hi,

The following job has been stuck in initiating cleanup state for a few days now.",22026953,warroom,Closed
180,KRAMANJA,"2014-10-27 13:40:34",NULL,Others,"CONFIGURE_BIGIP block failed  with login issues","CONFIGURE_BIGIP failed. From the error messages, it looks to  script login issue
$cat 
Permission denied at /net/slc05bsx.us.oracle.com/scratch/aime/PFA_REMOTE/job_22095527/auto/scripts/SDI/generic/bigip.pl line 194",22095527,warroom,Closed
181,PWARRIER,"2014-10-28 01:49:11",NULL,Cleanup,"Cleanup of jobs 22077604,22101591 stuck on opc_qa_farm","22077604	OPC_QA_FARM	pwarrier	CLEANUP_INITIATED	SDI_14.1_BASE_OHS	N/A	

22101591	OPC_QA_FARM	pwarrier	CLEANUP_INITIATED	SDI_FA_REL9_CRM	N/A",,OPC_QA_FARM,Closed
182,KRAMANJA,"2014-10-28 14:04:26",NULL,Others,"/scripts in hypervisor not getting updated with newer version","We have registered hypervisor to Farm.  At the time of registering we make sure /scripts/* has the latest by running preparehypervision script.


But later on /scripts did not get updated with latest. Due to this RAC setup block is failing.",NA,warroom,Closed
183,DJSUNDER,"2014-10-30 00:15:26",NULL,Filesystem,"Shared disk created in hypervisor should not have full permission","QAFarm job creates shared disks in hypervisors under /dev and clubs 2 or more Shared disks to create abstraction layer - ASM disk groups (eg DATA, RECO) which are essential for RAC services to function normally. 

After QM, we had an issue where CRS could not be started because ?shared disks? didn?t have enough permission. 

This ticket is to change the permission for SDs to 777 immediately after its creation. SETUP_RAC_FOR_DEPLOYMENT DTE block on all topologies",,QAFARM,Closed
184,KRAMANJA,"2014-10-30 08:58:29",NULL,Others,"Add  3 more BIG IP urls in warroom pool","We are planning to create a few more new environments in Warroom pool.  Please add  additional BIP IPs.",NA,warroom,Closed
185,SRMEKA,"2014-10-31 11:27:55",NULL,Others,"Need access to ""List/Edit OVM Topology""","Need access to ""List/Edit OVM Topology""",,,Closed
186,AMALON,"2014-10-31 23:35:13",NULL,Hypervisor,"A Farm Jobs Fail b/c of Deplyer Host Startup Time","Hi,
Recent jobs in QA farm pools: fastha and OPC_QA_SHARED fail because of deployer host startup issue. Most recent job 22177071 failed because of: ""Please note that your job 22177071 has Failed while Starting DEPLOYER_HOST"", but the host slc05jll has started and is accessible. Another job ID 22175578",22177071,fastha,Closed
187,AMATHURA,"2014-11-03 13:38:58",NULL,Others,"22214539 is failing","Initially its failing with below error:
Please note that your job 22214539 has Failed while registering FA SDI
Later with below error:
Please note that your job 22211277 has Failed while Starting DEPLOYER_HOST
I tried 3 times. I am hitting same error. I bounced listener on hypervisor where deployer host is created. Still hitting the same issue.",22214539,fastha,Closed
188,KRAMANJA,"2014-11-05 09:29:18",NULL,Hypervisor,"Hypervisor  slcak523 is showing in error state in OVMM","http://slc02oxi.us.oracle.com:8888/OVS
->""Server Pools"" -> search for slcak523  

It is showing in error state.

Due to this, if any Farm job allocates to this Hyp is failing to register templates.",NA,warroom,Closed
189,PWARRIER,"2014-11-06 03:59:07",NULL,Others,"URLs not working","SDI base 22129156
DEPLOYER_HOST=slc03yye.us.oracle.com 
HOSTED_ROUTING_OHS_HOST=slc03yyf.us.oracle.com 
BIGIP : v0029

I had not triggered a FA Deploy topo, just picked the rack from another job of mine. But I ahve run the configure BIGIP block after changing the bigip and routing ohs host in the map file.",,OPC_QA_FARM,Closed
190,MULIEGAD,"2014-11-11 06:41:10",NULL,Cleanup,"job 21804165 clean failed","JOb 21804165 cleanup failed. Please help us to clean the same.",21804165,OPC_QA_FARM,Closed
191,SWSUDHAK,"2014-11-11 07:28:42",NULL,Cleanup,"21938288 cleanup failing","Initiated job:21938288 cleanup and is failing",21938288,OPC_QA_FARM,Closed
192,MULIEGAD,"2014-11-14 08:26:37",NULL,Cleanup,"cleanup failed for 21941146","cleanup failed for 21941146.",21941146,,Closed
193,KRAMANJA,"2014-11-14 13:59:52",NULL,Others,"Cleanup failed for job-22330479","Following errors are reported in the log:

Shared virtual disk ""22330479_5"" does not exist, or an error occurred while getting the shared disk resource.

Done

INFO: cleaning VMs
INFO: releasing VM slc05bmm
Debug: need to stop and deregister from OVS
ERROR: subjobid 7072921451445  failed!
STDERR:",22330479,warroom,Closed
194,AMATHURA,"2014-11-17 10:49:08",NULL,Others,"Usage of Sun Storage in Primary and Standby envs","In all the QA Farm Jobs, source Templates and target project creations are happening on the same storage. All our templates which are announced by Nagendra are from slcnas570 sun storage. Is there a way to specify the QA Farm DTE run to use Templates from slcnas570 and create target (fa,ohs,idm3ohs,idm3oid) shares from different sun storage?",,fastha,Closed
195,KRAMANJA,"2014-11-18 09:44:15",NULL,Hypervisor,"Please adjust memory of Hypervisors  slcaj503 & slcaj504","Please adjust memory for hypervisors  slcaj503 & slcaj504

Change available max memory from 254672 to  251811.

We had registered the memory on higher side but at run time it is failing. So, please reduce the max available memory to  251811",NA,warroom,Closed
196,SRMEKA,"2014-12-02 07:00:38",NULL,Others,"Need Topo def for REL10 E2E RUN ""GSILARGE_E2E_REL10""","Since it has exceeded the number of characters, I will send an email with the exact specification.",,,Closed
197,SRMEKA,"2014-12-03 06:23:15",NULL,Others,"Need Topo def for REL10 E2E RUN ""HCMLARGE_E2E_REL10""","Since it has exceeded the number of characters, I will send an email with the exact specification.",,,Closed
198,AMPANAMA,"2014-12-04 05:30:27",NULL,Others,"Cleanup of JOB 22724396 is hanging in FARM UI","Hi,
Cleanup of one of our failed sdi job seems to be hanging and still shows as ?CLEANING?.

JOB ID: 22724396

Could anyone please take a look and help me to cleanup & submit another job?",22724396,OPC_QA_FARM,Closed
199,SRMEKA,"2014-12-04 12:50:23",NULL,Others,"Need Topo def for REL10 E2E RUN ""CRMLARGE_E2E_REL10""","Since it has exceeded the number of characters, I will send an email with the exact specification.",,,Closed
200,SRMEKA,"2014-12-05 10:45:39",NULL,Others,"Unable to create snapshot. Failed with authorization","CREATE_SNAP block failed with authorization access
/usr/bin/python ./manage_zfs_storage.py --user zfsuser --password zfsuser --project-name ovmTemplates --server slcnas570 --action create_snapshot --log-dir /net/slc08bwd.us.oracle.com/scratch/aime/PFA_REMOTE/job_22731601/work/oracle/work/CREATE_SNAP/logs --pool-name pool-570 --action create_snapshot --share-name srmeka_rel10_st2_gsi_02122014 --snapshot-name srmeka_rel10_st2_gsi_02122014_snap 
error: You are not authorized to perform this actio",,,Closed
201,KRAMANJA,"2014-12-08 05:53:58",NULL,Others,"Please provide the privilege for cloning/creating new OVM topology","Hi,

We need to create OVM topology with higher VM memory sizes for supporting upgrades from 
Rel7->Rel8->Rel9.2",NA,warroom,Closed
202,AMATHURA,"2014-12-10 06:29:18",NULL,Cleanup,"Cleanup failed for job 22819718","ERROR> 09/12/2014 12:08:06 -> There was a error while trying to establish Telnet connection to Host --> slc05bns.us.oracle.com.us.oracle.com

us.oracle.com is appended twice. Pls help.",22819718,DRQA,Closed
203,AMATHURA,"2014-12-10 06:30:57",NULL,Cleanup,"Cleanup is stuck","Cleanup is stuck for job 22826008. Pls help.",22826008,DRQA,Closed
204,KRAMANJA,"2014-12-10 07:12:28",NULL,Cleanup,"Cleanup is failing for job-22137387","Clenaup job failed for the job22137387",22137387,warroom,Closed
205,AMPANAMA,"2014-12-10 09:05:00",NULL,Others,"Unable to access Domain Admin Console using external ports","Hi,

SD_BASE14.1.16: HCM Order: 

During sanity check we found that none of the domain admin console are accessible using external ports. We could see there is some issue with LBR hosts. so, please take a look

[Observations]

- Unable to launch ""https://sdiqa22743488-v0046-hcm.us1.vfarm.oraclecorp.com/hcmCore/faces/HcmFusionHome"" shown as part of ""./sdictl.sh listsv"" output

- Unable to launch http://slc03zan.us.oracle.com:10613/console ( FAAdmin / fusionfa1 )",22743488,OPC_QA_FARM,Closed
206,DJSUNDER,"2014-12-12 21:34:00",NULL,Others,"job 22883688 had failed at DEPLOY TEMPLATE block - RMAN duplicate","Error in the faovmdeploy.log under /scratch/aime/PFA_REMOTE/job_22883688/work/oracle/work/DEPLOY_TEMPLATE/logs:
[12:46:32]   Executing Task: RMAN Duplicate Database ...              ... FAILED. [10m6s]
An error occurred: An error occurred during command execution: Remote RMAN Duplicate Database command '/tmp/FAOVMDB718782103415927176_fusiondb/rman_dbutil.sh' has exited with a non-zero exit code (1)",22883688,QAFARM,Closed
207,KSRIRAMA,"2014-12-16 06:02:38",NULL,Hypervisor,"Job 22916965 : DEPLOY_TEMPLATE failed to create VM","Job 22916965 failed to create VM :

""/net/slc08bxd.us.oracle.com/scratch/aime/PFA_REMOTE/job_22916965/work/oracle/work/DEPLOY_TEMPLATE/logs/faovmdeploy.log""

[05:33:58/fa] Executing Task: Create VM - slc08bxm_us_oracle_com ... FAILED. [1h0m5s]
An error occurred: An error occurred during command execution: TimeoutException caught when creating VM by slc08bxm_us_oracle_com Error: VM:slc08bxm_us_oracle_com/275733 >> Timeout expired while waiting for target state PoweredOff
Exiting with error",22916965,QAFARM,Closed
208,KSRIRAMA,"2014-12-19 14:24:18",NULL,NULL,"Enhancement : Add expiry date/time to the job details","Hi,

Currently job details show the start date/time and end date/time of the job. Please add ""Expiry date/time"" for the live jobs - this will be useful info for users to know and take necessary action for extending the env, as required.",N/A,QAFARM,Open
209,SRMEKA,"2014-12-24 04:53:28",NULL,Others,"Our CRM OVM E2E run has failed with memory issue","Hi,

Our CRM OVM E2E run has failed with the below memory issue, can you please check if there any issue with hypervisor/farm.

Error :
[15:02:51] Verifying Hosts for Deploy ... Done. [0m24s]
An error occurred: There is not enough free memory predicted to be available to start VM 'slc08bur_us_oracle_com'.
Total memory needed in OVMM pool 'slcan523' on host 'slc02oxi.us.oracle.com' is 188928MB, but there is only 188835MB available.
Exiting with error
~",23036961,QAFARM,Closed
210,SRMEKA,"2014-12-29 06:19:34",NULL,Cleanup,"Clean up this env 23065044 as it is no longer required","Clean up this env 23065044 as it is no longer required","23065044 ",QAFARM,Closed
211,SRMEKA,"2014-12-29 06:22:20",NULL,Cleanup,"Cleanup for this job 23036961 has failed.","Cleanup for this job 23036961 has failed.",23036961,QAFARM,Closed
212,AMATHURA,"2014-12-31 05:26:12",NULL,Others,"Pls allocate 2 more Big IPs for farm fastha","Pls allocate 2 more Big IPs for farm fastha",,fastha,Closed
213,AMATHURA,"2014-12-31 17:16:13",NULL,Others,"Pls add one big ip to pool fastha","Pls add one big ip to pool fastha",,fastha,Closed
214,SWSUDHAK,"2015-01-02 05:44:44",NULL,VM,"slc03peo not responding","slc03peo.us.oracle.com is SDI deployer host.
aime/2cool for sdi deployer host is not connectiong.. getting closed as we connect. Tried shutting down from OVMM is still showing shutting down for long time. Pls help us re-start this vm.",22270935,OPC_QA_FARM,Closed
215,AMPANAMA,"2015-01-06 11:29:35",NULL,Cleanup,"Cleanup of Job 22375401 failed to clean rack and db instances","Cleanup of REL10 JOB 22375401 failed to cleanup ip's from RACK and all the db instances.
B/C of this issue these ip's got allocated to one of our new HCM job.

To proceed further we had manually delete rack id - 22375401 and all the db instances.

So, this issue should be addressed for proper cleanup of the job to avoid the above mentioned issue.",22375401,OPC_QA_FARM,Closed
216,PRTUMMAL,"2015-01-06 13:12:01",NULL,Hypervisor,"Please cleanup Job","timeout while cleaning up. Please cleanup from backend",22945795,fastha,Closed
217,AMATHURA,"2015-01-06 13:15:17",NULL,Hypervisor,"Cleanup is stuck for job 22945795","Cleanup is stuck for job 22945795. Pls help.",22945795,fastha,Closed
218,JKUTTAPP,"2015-01-07 05:48:51",NULL,Others,"VM creation fails with ""NetworkCardException: OVM-4105 MAC address exists""","During the vm creation of SHARED IDM setup for TAS based SDI setup, it throws the exception ""Caught exception while handling request: oracle.ovs.biz.exception.NetworkCardException: OVM-4105 MAC address exists""",23233410,ovm_general,Closed
219,SRMEKA,"2015-01-09 06:01:55",NULL,Hypervisor,"GSI E2E PREFLIGHT FAILED TO START VM slc06xxy","Log : /net/slc06yeq.us.oracle.com/scratch/aime/PFA_REMOTE/job_23285867/work/oracle/work/START_STOP_VM/logs/request_vm_start_slc06xxy.log

Powering on.
resetting slc06xxy
Virtual machine status has been reset.
Powering on.
Can't bring on  on a timely manner. Something is Wrong",23285867,QAFARM,Closed
220,MAMEHRA,"2015-01-09 06:57:50",NULL,null,"GSI E2E PREFLIGHT FAILED TO CREATE VM slc06xuy","on checking the log :

Caught exception while handling request: oracle.ovs.biz.exception.NetworkCardException: OVM-4105 MAC address exists.
ERROR: Creation Failed : slc06xuy is stil in Virtual machine ""slc06xuy"" does not exist. status after 40 Minutes",23269901,QAFARM,Closed
221,SRMEKA,"2015-01-09 10:03:08",NULL,Others,"Update E2E topo defs HCMLARGE_E2E_REL10,CRMLARGE_E2E_REL10","Please update topo def of HCMLARGE_E2E_REL10 by appending one more host to the existing def:
21:4:2000:GRC_HOST:stit_oel5u6:false
Please update topo def of CRMLARGE_E2E_REL10 by appending to the existing def:
21:4:2000:GRC_HOST:stit_oel5u6:false",,,Closed
222,AMALON,"2015-01-09 17:44:28",NULL,VM,"Shared IDM VM Fail To start","In SDI base deployment, shared IDM setup failed due to failed VM start.

Error:
can't connect to port 9000 on slc05jjs: No route to host at /ade_autofs/gd14_fmw/INTGQA_MAIN_GENERIC.rdd/LATEST/intgqa/ovm/private_farm_fwk/ovm_farm_manager_v7.pl line 5115.",23293788,warroom,Closed
223,KRAMANJA,"2015-01-09 18:53:28",NULL,Others,"memory mismatch with slcak524 hypervisor","After allocating 254192M
 memory , in the Farm it is still showing 1808M free.

Max memory registered for slcak524 is 251811M.",23293788,warroom,Closed
224,PRTUMMAL,"2015-01-12 06:14:58",NULL,Cleanup,"Please cleanup Job 22945795","cleanup key is:  22945795_epdv8j7otcabst7veec2c2l78a",,,Closed
225,JKUTTAPP,"2015-01-13 07:22:42",NULL,Others,"Patch_TAS_DC1 give incorrect status","Patch_TAS_DC1 is giving incorrect status after running tas_patch script.

tas_patch log have the message ""^[[1mOverall Upgrade Status : FAILED"" but localTaskProcess.log shows ""Upgrade Status : SUCCESS was found in log""",,,Closed
226,AMALON,"2015-01-13 21:27:18",NULL,Others,"Allocate BIG IP Error Not Informative","Hello, 

When running the block above in job we got the following error:
ERROR: DTEID 23332166 is not registered with bigip:!
This error does not elaborate enough for debugging.",23332166,warroom,Closed
227,AMALON,"2015-01-13 23:27:05",NULL,Others,/SDI/generic/ADD_FA_TEMPLATE_NAME.pl,"Hi,

The following script sets the old definitions for invoking sdictl and hence causing the flow to fail.

Please duplicate and/or update. 

Thank you,

Amit",,,Closed
228,AMPANAMA,"2015-01-14 09:45:52",NULL,Others,"15.1.2: Unable to access LBR URLs in SDI environment","Hi, SD_BASE15.1.2: GSI Master Order: 
During sanity check we found that none of the domain admin console are accessible using external ports. We could see there is some issue with LBR hosts. so, please take a look 
[Observations] - Unable to launch https://stagerel100famaster-faop.fs.changeme.vfarm.oraclecorp.com/homePage/faces/AtkHomePageWelcome shown as part of ""./sdictl.sh listsv"" output - Unable to launch http://slc04sxs.us.oracle.com:10613/console 
JOBID: CREATE_MASTER_1420810197315",22481222,OPC_QA_SHARED,Closed
229,SRMEKA,"2015-01-14 09:47:32",NULL,Others,"Create a seperate pool name ""CDRMPREFLIGHT"" with the given hypervisors","Create a seperate pool name ""CDRMPREFLIGHT"" with the given hypervisors:
slcao392,slcao573,slcao574",,,Closed
230,DJSUNDER,"2015-01-14 23:30:43",NULL,Others,"23355088 had failed - need to debug and fix the issues ASAP","Following blocks had failed.

RAC_AGENT_DEPLOY_1.dif
RAC_AGENT_DEPLOY_2.dif
CONFIGURE_SDI_FOR_SDIFA_DEPLOY.dif
DEPLOY_CREATE.dif
DEPLOY_UPDATE.dif
GENERATE_PLAN.dif
ExportInfo4OSNTopo.dif
Run_OSN_Tests.dif
DEPLOY_DELETE.dif","23355088 ",warroom,Closed
231,SRMEKA,"2015-01-16 04:52:40",NULL,Cleanup,"Please cleanup this stale job : 23400211","Please cleanup this stale job : 23400211",23400211,QAFARM,Closed
232,PWARRIER,"2015-01-16 13:08:30",NULL,Hypervisor,"shutting down VMs from slcak528 and slcak530 is hanging","faovm.ha.HOST_FA=slc05jmg.us.oracle.com
faovm.ha.HOST_PRIMARY=slc05jmf.us.oracle.com
faovm.ha.HOST_SECONDARY=slc05jmq.us.oracle.com
faovm.ha.HOST_OSN=slc05jmw.us.oracle.com
faovm.ha.HOST_BI=slc05jmh.us.oracle.com
faovm.ha.HOST_OHS=slc05jmx.us.oracle.com
faovm.ha.HOST_LDAP=slc05jmc.us.oracle.com
faovm.ha.HOST_OIM=slc05jmd.us.oracle.com
faovm.ha.HOST_WEBGATE=slc05jme.us.oracle.com

We are cleaning the environemtn, but cleanup of every VM hangs in the shutdown state.",,OPC_QA_SHARED,Closed
233,MULIEGAD,"2015-01-19 05:08:04",NULL,Hypervisor,"slc05jmi.us.oracle.com VM  has connection problems","We are unable to connect to slc05jmi.us.oracle.com. Please help us to get the access back.",,OPC_QA_FARM,Closed
234,SWSUDHAK,"2015-01-19 09:19:35",NULL,Others,"Change in LBR mapping","For BIG IP v0029 the rule is set as -us1.
We want to change this to .us1 across all environments.",22129156,OPC_QA_FARM,Closed
235,SWSUDHAK,"2015-01-19 10:15:16",NULL,Hypervisor,"Failed to shutdown VM 'slc03yzz_us_oracle_com'","During SDI delete Flow we noticed below error related to VM shutdown.

An error occurred: An error occurred during command execution: Failed to shutdown VM 'slc03yzz_us_oracle_com' in OVMM pool 'slcai056'",22367754,OPC_QA_FARM,Open
236,MULIEGAD,"2015-01-20 06:45:58",NULL,Others,"DB instances down for DB Factory resource FUSG01_UNIQUE","DB instance is down with below error
ORA-03113: end-of-file on communication channel
Session ID: 0 Serial number:For details refer to ""(:CLSN00107:)"" in ""/u01/app/11.2.0/grid/log/slc03edz/agent/crsd/oraagent_oracle/oraagent_oracle.log"".
ORA-01589: must use RESETLOGS or NORESETLOGS option for database open For details refer to ""(:CLSN00107:)"" in ""/u01/app/11.2.0/grid/log/slc03edy/agent/crsd/oraagent_oracle/oraagent_oracle.log"".",22366946,OPC_QA_SHARED,Closed
237,MAMEHRA,"2015-01-20 10:00:56",NULL,Others,"CRM E2E FAILED DUE TO INSUFFICIENT MEMORY","[01:54:15] Verifying Hosts for Deploy ... Done. [0m24s]
An error occurred: There is not enough free memory predicted to be available to start VM 'slc08ucd_us_oracle_com'.
Total memory needed in OVMM pool 'slcao574' on host 'slc02oxi.us.oracle.com' is 188928MB, but there is only 188835MB available.
Exiting with error",23436994,warroom,Closed
238,AMPANAMA,"2015-01-20 11:20:05",NULL,Hypervisor,"Smart Clone Master Setup failed while starting deployer host","We had submitted Smart Clone Master Setup topology pointing to REL10 ST6 templates and binaries and it is observed that topology execution has failed while starting deployer host",23454645,OPC_QA_SHARED,Closed
239,AMATHURA,"2015-01-20 11:35:10",NULL,VM,"slc04qfr.us.oracle.com is not accesible","slc04qfr.us.oracle.com is not accessible , can you reboot it.",,fastha,Closed
240,AMALON,"2015-01-21 19:09:28",NULL,Hypervisor,"slcag155 Hypervisor Not Reachable","Hi,

In job 23406319 hypervisor slcag155 stopped being responsive and accessible. Please take a look.",23406319,ovm_general,Closed
241,PWARRIER,"2015-01-22 07:27:11",NULL,Others,"URL not working","https://sdiqa23173118-v0029-hcm.us1.vfarm.oraclecorp.com/hcmCore/faces/HcmFusionHome

Can someone oplease check. We need to release this environemnt to Smartclone team for testing",,OPC_QA_FARM,Closed
242,EKANTER,"2015-01-26 18:55:23",NULL,Cleanup,"job cleanup failed","Job Cleanup repeatedly failed.",23511583,QAFARM,Closed
243,RINSHARM,"2015-01-27 05:59:52",NULL,Hypervisor,"QAFARM  Pod 23173118 are not coming up.","Pod details given below
[aime@slc03gmk ~]$ /ade_autofs/gd14_fmw/INTGQA_MAIN_GENERIC.rdd/LATEST/intgqa/ovm/private_farm_fwk/ovm_farm_manager_v7.pl -o start_env -envid 23173118


irtual machine status has been reset.
Virtual machine ""slc03zao"" does not exist.
Can't bring on  on a timely manner. Something is Wrong
ERROR: Unable to start VM:",23173118,QAFARM,Closed
244,RINSHARM,"2015-01-27 06:00:51",NULL,VM,"DB nodes of QAFARM master 22129156 not coming up","Master details given below 
/ade_autofs/gd14_fmw/INTGQA_MAIN_GENERIC.rdd/LATEST/intgqa/ovm/private_farm_fwk/ovm_farm_manager_v7.pl -o start_env -envid 22129156

DB Host Login Creds: oracle / oracle

faovm.ha.HOST_DB=slc04qev.us.oracle.com

faovm.ha.HOST_DB2=slc04qeu.us.oracle.com",22129156,QAFARM,Closed
245,BARUNACH,"2015-01-27 07:15:56",NULL,null,"Not able to connect DB on SDI environment","Environment Info:
faovm.ha.HOST_FA=slc07zuy.us.oracle.com
faovm.ha.HOST_PRIMARY=slc07zuz.us.oracle.com
faovm.ha.HOST_SECONDARY=slc07zut.us.oracle.com
faovm.ha.HOST_OSN=slc07zuv.us.oracle.com	faovm.ha.HOST_BI=slc07zuu.us.oracle.com
faovm.ha.HOST_OHS=slc07zur.us.oracle.com
faovm.ha.HOST_DB=slc02qxu.us.oracle.com
faovm.ha.HOST_DB2=slc02qxt.us.oracle.com
faovm.ha.HOST_LDAP=slc07zus.us.oracle.com
faovm.ha.HOST_OIM=slc07zux.us.oracle.com
faovm.ha.HOST_WEBGATE=slc07zuw.us.oracle.com",,,Closed
246,MULIEGAD,"2015-01-27 07:42:04",NULL,null,"Factory resourec DB slc03eea/ec down","Below Factory DB is down . Please help us to bring this host up.

faovm.ha.HOST_DB=slc03eea.us.oracle.com faovm.ha.HOST_DB2=slc03eec.us.oracle.com",22366946,OPC_QA_SHARED,Closed
247,KRAMANJA,"2015-01-27 09:13:23",NULL,null,"MC script did not put /fsnadmin  mount entry in /etc/fstab","We have enabled MC in our Farm env using given steps in the automation wiki.

After  QM down time, we found /fsnadmin was not mounted in any of the VMs.

Please enhance the automation script to write /fsnadmin mount in /etc/fstab",NA,warroom,Closed
248,AMPANAMA,"2015-01-27 09:20:45",NULL,Hypervisor,"startvm command for host slc03yyn failed","Post maintainence we tried bringing below vm where SDI_BASE is installed and startvm command failed with error shown below.

[aime@slc04rky ~]$ /usr/bin/perl /ade_autofs/gd14_fmw/INTGQA_MAIN_GENERIC.rdd/LATEST/intgqa/ovm/private_farm_fwk/ovm_farm_manager_v7.pl -o startvm -host_name slc03yyn
Powering on.
resetting slc03yyn 
Virtual machine status has been reset.
Powering on.
Can't bring on  on a timely manner. Something is Wrong",22129156,OPC_QA_FARM,Closed
249,RINSHARM,"2015-01-27 11:10:47",NULL,Others,"DB's of QAFARM master 22129156 not coming up","srvctl start instance -d FUSG02_UNIQUE -i FUSG022
PRCD-1027 : Failed to retrieve database FUSG02_UNIQUE
PRCR-1070 : Failed to check if resource ora.fusg02_unique.db is registered
Cannot communicate with crsd",22129156,OPC_QA_SHARED,Closed
250,BKASHYAP,"2015-01-27 11:14:38",NULL,null,"Cleanup of jobs 20572689 and 20717546","Lost the cleanup keys, can you please help cleaning up.",20572689,lifecycle_dev,Closed
